classification,x_ratio,y_ratio,oii_3729_flux,h_beta_flux,oiii_5007_flux
AGN,-0.5475752504376484,0.09478395731001442,15.13505,26.16934,28.77113
SBG,-0.48055000798816344,-0.4568421661425197,14.77089,23.88399,15.12526
SBG,-0.22670928558259998,-0.0797207656171684,50.28304,63.07832,58.24489
SBG,0.026469840061879753,-0.2820020646640732,15.59838,15.19091,11.45808
SBG,-2.3036061159368875,-0.27765529383535986,1.555488,15.57077,11.79576
SBG,0.2628871886061988,0.20612620028733658,61.07071,46.95291,57.70082
AGN,0.8057549663085464,0.7734857197930416,48.13859,21.50594,46.60999
SBG,-0.11703237647693183,-0.23569307459818373,34.17391,38.4168,30.35016
AGN,0.01206805614779064,0.21920723339020853,45.22685,44.68433,55.63598
AGN,1.155353603967641,0.8018749123204275,67.03746,21.11319,47.07645
SBG,0.09141617355193556,-1.0380436886809918,8.998493,8.212365,2.908383
AGN,-0.3334958183177557,2.089402955490712,32.72359,45.67687,369.0732
SBG,-1.0369143960511644,-0.5832133190418288,11.12288,31.37209,17.50883
SBG,-1.338559212011603,-2.1894973336973624,5.37422,20.49483,2.294868
SBG,0.6219757687373602,-0.7303197903615248,24.03028,12.90144,6.215332
SBG,-0.3394550139725387,0.18628283133714385,17.50164,24.57549,29.60764
SBG,0.011010241728174207,-0.11839479850618946,16.32351,16.14477,14.34213
AGN,-0.06040663745669373,1.3792555635790222,39.32443,41.7731,165.9204
AGN,-0.3181980010644895,0.28934858585087914,123.5836,169.884,226.8898
SBG,0.31943862021632285,0.007363970773527496,38.52076,27.98752,28.19438
SBG,-0.5633862418031913,-0.6545890654663152,40.53474,71.20376,37.00143
AGN,1.0357770148701013,0.5881047713392319,61.29658,21.75725,39.17551
SBG,-0.6390498029407858,-0.27260274555243297,33.93477,64.29552,48.9543
SBG,0.9429328910227345,-0.5875903527052954,43.27304,16.85415,9.365255
SBG,0.2705095830512686,-0.429691975037005,33.01063,25.1868,16.38929
AGN,1.3496889452188747,0.6299922219216129,64.79034,16.80149,31.54641
SBG,-0.24942956046095188,-0.5224137329583967,34.68467,44.5106,26.39867
SBG,-0.8250794944505312,-0.37578250364435495,11.98757,27.35638,18.78704
AGN,-0.8781542015004701,1.1393003158391481,9.193316,22.12329,69.12602
SBG,-0.570315270545625,-1.1239362019501602,14.03242,24.82089,8.06674
SBG,-0.6479714542628956,-1.2457331017922306,7.952548,15.20256,4.374231
SBG,0.3135755618247789,0.4749129492236438,18.35678,13.41567,21.57071
SBG,-0.2448537737151725,-0.7518388045628804,31.69977,40.49438,19.09305
AGN,0.885704954737407,0.4248734447164319,28.7926,11.87474,18.16119
AGN,0.9062796713289653,1.7656700478067433,34.85719,14.08316,82.32294
AGN,0.7616106036260001,0.7793448879591522,31.25337,14.59263,31.81257
SBG,-1.1159877012884327,-0.04487397526742099,3.655224,11.15787,10.66824
SBG,-0.6265374362304739,-0.9584864959117289,47.33731,88.57381,33.96565
AGN,0.21446190527308295,1.1389247116166679,11.45687,9.245414,28.8772
AGN,0.3330388674888484,0.4068196723197413,106.4505,76.29758,114.6015
AGN,0.4403768329606838,0.1100399501118055,28.38673,18.2752,20.40102
SBG,-0.06499992136862608,-0.4773655446085238,168.5241,179.842,111.5768
SBG,-0.6964712639560231,-0.26360392360108337,11.69655,23.47099,18.03224
SBG,0.1313416975768864,-0.7002259737801598,10.70405,9.386575,4.660182
SBG,0.5777152974965015,0.35599149431341043,33.64053,18.87836,26.95066
AGN,0.8898486550710135,0.19560004707513107,62.16269,25.53133,31.04713
SBG,0.28724268021632815,-0.3678622215797081,77.12749,57.87104,40.05906
SBG,0.77312384430262,0.01652898463580715,34.69798,16.01551,16.28243
AGN,0.9137546173642168,0.9287754786200011,52.08454,20.88672,52.8728
SBG,0.24698161833809856,-0.4148368935532645,14.73509,11.51039,7.602014
SBG,0.29869804308476056,0.22578550648918058,14.80776,10.98415,13.76651
SBG,-1.0304530416419255,-1.0531406792853457,40.18463,112.6108,39.2832
SBG,0.3390084324822663,-0.15444511588305662,19.86512,14.15343,12.12794
SBG,-1.2609378608926989,-1.067600824009456,22.55025,79.57373,27.36003
SBG,-0.41626447859229965,-0.17697575847440533,25.38798,38.49546,32.2515
AGN,0.410797961535653,0.5054637823118779,30.61674,20.3026,33.65672
SBG,-2.473610534974319,-0.39789314311126966,2.166738,25.7088,17.26947
SBG,-0.671993232161841,-1.0132920813400426,15.3986,30.15256,10.94604
SBG,-0.21026735880898315,0.13079707593872586,36.29035,44.78258,51.04034
SBG,-1.141440391350925,-0.8837639707949855,10.19978,31.93832,13.1977
AGN,0.8017606006540775,1.3486746944945014,46.45625,20.83742,80.27234
SBG,-1.2554869978278598,-0.9823319197795148,7.783463,27.31643,10.22828
SBG,-1.3333728454046507,-0.7342459093420473,35.46533,134.549,64.56565
SBG,0.08106170495896169,-0.39335016643566645,62.20473,57.36127,38.70695
SBG,-0.003060575184278731,-0.4419555082450546,44.34529,44.48122,28.59156
SBG,-0.1041386806350766,-0.473912499492203,34.24894,38.00791,23.66227
SBG,0.1908683225527938,-1.0215872139841446,18.19691,15.03504,5.412961
SBG,0.07459069080073881,0.4234813957871446,33.94897,31.50883,48.12247
AGN,0.36532561344729514,0.2553241462958614,13.01168,9.029724,11.65629
AGN,0.9307762918251133,0.7901164143088614,47.54036,18.74267,41.30234
SBG,-0.8670645829982341,-0.9159589474454305,16.89143,40.20016,16.0854
SBG,0.048739805697125695,-0.3880117651108616,15.36942,14.63828,9.930673
SBG,-0.20387365251078907,-0.8329645415105594,17.67349,21.67023,9.421317
SBG,0.3087093402249329,-0.41275255492561597,25.81668,18.95962,12.54797
SBG,0.1921253856604316,-0.7139550855890808,40.85188,33.71111,16.50845
SBG,0.2374226343599957,0.03180893400556295,13.47176,10.62461,10.968
