plate,fiberid,mjd,z,zwarning,h_beta_flux,h_beta_flux_err,oii_3729_flux,oii_3729_flux_err,oii_3726_flux,oii_3726_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err
1538,184,52937,0.1009939,0,9.386575,1.394564,10.70405,2.423577,4.682723,2.340961,6.093669,2.62031,4.660182,1.441002
387,46,51791,0.08485557,0,23.47099,3.195434,11.69655,8.299585,37.23432,7.874058,10.58824,3.296971,18.03224,3.33972
2173,536,53874,0.1536274,0,18.87836,2.457418,33.64053,4.630308,10.4859,4.783067,8.934188,2.706042,26.95066,2.902048
2574,101,54084,0.06546606,0,25.53133,2.526547,62.16269,8.07474,40.93309,7.76938,13.02277,2.746544,31.04713,2.905378
1753,252,53383,0.002754746,0,17.44473,1.564056,0.0,-0.5079632,0.0,-0.5079632,2.386079,1.56813,7.660869,1.474844
349,399,51699,0.3615204,0,7.292754,0.910643,7.92635,1.412384,2.379612,1.359131,1.929999,0.7638471,5.017498,0.8767132
978,583,52441,0.2478444,0,19.99877,3.424577,67.18021,16.32583,86.06137,15.61121,4.515846,3.948223,47.31135,3.814537
2023,51,53851,0.02305789,0,222.1076,5.602025,0.0,-0.7629776,0.0,-0.7629776,38.21496,4.671443,151.1361,5.587503
2795,589,54563,0.2569929,0,11.15065,1.703433,14.74492,2.400014,10.82649,2.381013,4.090471,1.776667,10.29055,1.591943
599,294,52317,0.1339355,0,19.31412,2.852758,41.78893,4.870838,9.986031,4.795218,7.947522,3.205238,14.41206,3.402117
646,147,52523,0.1756193,0,50.54839,2.292871,27.71872,2.76629,29.55208,2.874356,7.206426,2.183917,14.73121,2.521999
283,322,51959,0.07695858,0,32.60326,3.119504,27.20923,6.747962,18.23413,6.728556,4.272918,3.051128,12.99289,3.148672
2758,551,54523,0.07800347,0,16.80149,2.800516,64.79034,5.698751,58.70935,5.485015,8.242137,3.02584,31.54641,3.116965
