plate,fiberid,mjd,z,zwarning,nii_6584_flux,nii_6584_flux_err,h_beta_flux,h_beta_flux_err,h_alpha_flux,h_alpha_flux_err,oii_3729_flux,oii_3729_flux_err,oii_3726_flux,oii_3726_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err
2361,467,53762,0.1635934,0,185.1781,4.311259,14.6255,2.916506,169.2924,5.529464,32.24554,4.395032,29.2213,4.475378,-0.9575225,3.0584,33.85859,3.216029
1831,374,54557,0.0457555,0,251.0262,4.258892,59.35776,3.075276,629.3993,7.036069,54.02641,6.074831,69.46999,6.116244,7.667772,2.62564,19.62427,2.782463
671,197,52206,0.271421,0,18.08531,1.974479,8.549641,0.9519188,95.91388,18.753,12.43185,1.936855,5.097695,1.870459,10.58218,5.381996,5.826846,1.355646
272,256,51941,0.1693897,0,202.9371,3.891202,39.21459,3.761086,398.5433,5.121439,26.71685,5.631447,25.44993,5.690034,6.993255,3.433238,26.06728,3.670741
1788,423,54468,0.07100993,0,679.6844,6.232337,84.35647,3.028931,921.5165,8.931745,66.76821,6.156632,60.71437,6.088465,19.97175,3.174523,65.06718,3.340301
2960,80,54561,0.1088564,0,1221104000.0,219620400.0,5397477000.0,509322600.0,56082390000.0,9213865000.0,0.0,-1069002000.0,0.0,-1069002000.0,6064421000.0,638972700.0,14333210000.0,1001417000.0
525,635,52295,0.0475678,0,412.843,6.465961,42.18907,3.284845,451.2279,7.119634,49.36193,6.964542,32.61141,7.055606,10.21448,3.362742,22.01981,3.413666
1177,276,52824,0.08752164,0,130.8718,2.742243,12.48933,2.173514,153.3071,2.994608,7.889889,4.160464,7.620573,4.049407,-1.051764,1.999278,2.048406,2.03888
1947,262,53431,0.08758677,0,174.4586,3.685939,14.71776,2.680201,194.894,3.824549,26.63906,6.237675,17.27758,6.283231,6.926024,3.000093,10.9004,3.126997
309,384,51994,0.3346041,0,85.61266,5.247394,10.46643,1.665088,105.7665,16.3099,38.08307,3.335479,23.98176,3.148801,20.29947,1.702674,50.12996,1.889946
1746,194,53062,0.0762822,0,258.2155,4.342795,28.36985,2.970899,346.4362,5.027868,43.66607,7.162331,13.57881,7.022832,-1.646101,2.889058,25.37002,3.092567
534,344,51997,0.05200284,0,44.03344,2.191396,9.889343,1.71058,103.5519,2.614836,10.88132,3.279728,7.764246,3.236934,3.224804,1.959086,5.160632,1.804976
412,338,52258,0.2125439,0,178.5485,5.565371,29.24285,5.748058,304.1141,6.45614,16.43617,7.239897,68.97153,7.271933,8.298368,3.222356,32.63712,3.053673
