plate,fiberid,mjd,z,zwarning,nii_6584_flux,nii_6584_flux_err,h_beta_flux,h_beta_flux_err,h_alpha_flux,h_alpha_flux_err,oii_3729_flux,oii_3729_flux_err,oii_3726_flux,oii_3726_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err
2119,514,53792,0.06406385,0,191.4122,3.93618,18.2752,2.330016,192.731,4.041344,28.38673,3.898021,30.30909,4.073103,6.852916,2.600637,20.40102,2.713929
1781,309,53297,0.08333812,0,881.2493,7.73945,179.842,4.355724,1813.411,14.04289,168.5241,9.546618,42.47052,8.666245,29.90792,3.591969,111.5768,4.808609
387,46,51791,0.08485557,0,175.794,3.694421,23.47099,3.195434,235.0885,4.186017,11.69655,8.299585,37.23432,7.874058,10.58824,3.296971,18.03224,3.33972
1538,184,52937,0.1009939,0,74.94558,2.936272,9.386575,1.394564,107.1092,2.168728,10.70405,2.423577,4.682723,2.340961,6.093669,2.62031,4.660182,1.441002
2173,536,53874,0.1536274,0,156.1272,4.943226,18.87836,2.457418,206.9937,4.088406,33.64053,4.630308,10.4859,4.783067,8.934188,2.706042,26.95066,2.902048
2574,101,54084,0.06546606,0,311.5943,4.338293,25.53133,2.526547,328.1613,4.623629,62.16269,8.07474,40.93309,7.76938,13.02277,2.746544,31.04713,2.905378
1753,252,53383,0.002754746,0,127.0368,2.213807,17.44473,1.564056,234.6638,2.834483,0.0,-0.5079632,0.0,-0.5079632,2.386079,1.56813,7.660869,1.474844
939,225,52636,0.02782699,0,626.03,6.251127,57.87104,2.881205,618.1323,6.607774,77.12749,8.031549,66.09684,8.244592,15.27578,2.898552,40.05906,3.055629
2295,621,53734,0.1071873,0,128.3331,4.043077,16.01551,2.564898,188.0425,4.46956,34.69798,4.8093,14.0047,4.649593,2.803016,2.709655,16.28243,2.866055
346,623,51693,0.08448629,0,241.6498,3.476565,20.88672,2.508904,223.623,3.361109,52.08454,7.393874,17.35786,6.870446,16.11801,3.008211,52.8728,3.06241
2794,158,54537,0.08598077,0,70.28166,2.325141,11.51039,1.861301,115.3851,2.642457,14.73509,3.802771,8.683799,3.983298,2.273586,2.016789,7.602014,1.99665
879,486,52365,0.04738396,0,68.16013,2.205946,10.98415,2.167132,120.1274,2.66562,14.80776,3.935416,2.823333,3.899066,3.081995,2.015533,13.76651,2.092913
2232,129,53827,0.0613012,0,629.786,5.990822,112.6108,3.184824,1173.393,11.07571,40.18463,5.587309,61.80074,5.612035,10.5637,2.313771,39.2832,2.574799
367,12,51997,0.1156163,0,80.3414,2.972676,14.15343,1.840013,150.0449,3.447182,19.86512,3.870252,12.87849,3.813042,4.460108,1.850289,12.12794,2.059604
2590,404,54175,0.04640438,0,525.6774,5.441932,79.57373,2.806943,864.4581,8.955694,22.55025,4.226078,42.96786,4.36665,4.693257,2.278416,27.36003,2.54246
1269,606,52937,0.07949325,0,299.1263,3.970404,38.49546,2.524691,385.9838,4.735821,25.38798,5.216051,26.61209,5.022441,2.307634,2.68585,32.2515,2.800119
2663,596,54234,0.1456286,0,345.7007,4.910211,20.3026,2.426342,242.6291,4.72249,30.61674,6.21447,66.70404,6.475347,8.12181,3.560201,33.65672,3.459988
716,221,52203,0.07294288,0,151.7452,4.103453,25.7088,2.762439,279.736,5.009529,2.166738,6.083826,37.77921,6.441204,10.1973,3.050015,17.26947,3.075176
2153,430,54212,0.06458873,0,177.026,3.395843,30.15256,2.370669,370.7351,4.761844,15.3986,5.046426,11.90651,4.908988,1.612622,2.355439,10.94604,2.474807
2094,450,53851,0.03610217,0,405.5953,5.200259,44.78258,2.753474,466.1204,5.875202,36.29035,5.152527,28.08046,5.420896,18.73538,2.779099,51.04034,3.066147
2615,399,54483,0.05824823,0,244.5513,3.066798,31.93832,1.94523,320.6465,3.94803,10.19978,3.459543,18.24419,3.525609,3.539222,1.980742,13.1977,2.053859
884,623,52374,0.1191854,0,212.3483,6.03619,20.83742,3.879641,212.7471,6.8214,46.45625,7.778744,21.85563,8.231188,22.79327,3.695535,80.27234,4.166926
1008,354,52707,0.1295149,0,126.3294,3.968951,27.31643,3.126294,275.6508,5.101406,7.783463,5.314041,27.04092,5.437207,8.002154,3.09014,10.22828,3.202668
1438,275,53054,0.02500547,0,872.5649,9.812248,134.549,4.773006,1359.17,13.36449,35.46533,9.978137,100.7756,10.87768,20.47733,4.544426,64.56565,4.745228
1374,103,53083,0.03905982,0,621.4141,6.830449,57.36127,3.447483,623.5309,7.271778,62.20473,10.56348,69.27577,10.49917,12.71345,3.511272,38.70695,3.741902
1426,579,52993,0.05266351,0,283.0043,4.402694,44.48122,2.819804,465.9279,5.933955,44.34529,5.429178,55.78408,5.293406,14.82511,2.761517,28.59156,2.837651
333,401,52313,0.1972694,0,65.71926,4.110087,38.00791,2.352933,427.2742,74.92846,34.24894,3.073784,38.8256,3.172894,10.32173,2.043695,23.66227,1.903273
2218,199,53816,0.1007004,0,97.9903,3.376208,15.03504,1.989443,169.2439,2.758653,18.19691,3.660443,10.34199,3.564117,5.242075,2.218212,5.412961,2.05748
2659,637,54498,0.2712816,0,94.27303,5.496723,31.50883,2.630967,465.765,52.59575,33.94897,3.079858,24.81956,2.88618,13.83879,3.411716,48.12247,3.810374
2659,527,54498,0.1856361,0,81.57254,2.44876,9.029724,1.657926,91.39169,2.411805,13.01168,2.366076,8.681334,2.278289,5.575934,2.059835,11.65629,1.971106
1738,497,53051,0.05444192,0,278.2707,5.744935,18.74267,3.285124,259.9286,6.27675,47.54036,6.4989,55.07669,6.55448,9.466996,3.571951,41.30234,3.797726
835,628,52326,0.1038016,0,242.1248,4.502962,40.20016,3.23567,433.1843,6.07504,16.89143,6.559593,64.32529,6.723031,6.420513,3.25847,16.0854,3.414309
2423,602,54149,0.04399493,0,175.416,3.567305,14.63828,1.86112,241.9314,3.703845,15.36942,5.061763,23.90237,5.317404,2.904642,1.95486,9.930673,2.068141
1243,327,52930,0.1760887,0,43.06234,2.165232,21.67023,2.28885,221.6023,42.07629,17.67349,2.847879,11.29743,2.8077,-1.695192,2.487539,9.421317,6.599401
817,578,52381,0.1467955,0,85.90719,2.546976,18.95962,3.213763,210.9435,3.634772,25.81668,3.923544,26.45021,3.687428,1.507928,2.493658,12.54797,2.147866
1755,163,53386,0.1416982,0,290.0542,6.249825,33.71111,3.979405,386.5762,6.96268,40.85188,5.301661,30.57949,5.218593,11.95873,4.255639,16.50845,4.26696
1716,608,53827,0.1031191,0,68.28017,2.473216,10.62461,1.957726,114.4037,3.607918,13.47176,3.341736,11.84232,3.345544,3.60193,2.032943,10.968,2.071587
